GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (1583)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of response to wounding (GO:1903034)	168	33	12.92	+	2.55	4.92E-07	1.91E-04
positive regulation of lipid transport (GO:0032370)	84	16	6.46	+	2.48	5.95E-04	4.37E-02
digestive system process (GO:0022600)	84	16	6.46	+	2.48	5.95E-04	4.35E-02
blood vessel diameter maintenance (GO:0097746)	157	29	12.08	+	2.40	1.18E-05	2.38E-03
regulation of tube diameter (GO:0035296)	157	29	12.08	+	2.40	1.18E-05	2.34E-03
regulation of tube size (GO:0035150)	158	29	12.15	+	2.39	1.27E-05	2.49E-03
regulation of blood pressure (GO:0008217)	199	36	15.31	+	2.35	1.33E-06	4.09E-04
renal system process (GO:0003014)	146	26	11.23	+	2.32	5.46E-05	7.39E-03
positive regulation of vasculature development (GO:1904018)	169	30	13.00	+	2.31	1.47E-05	2.78E-03
female sex differentiation (GO:0046660)	117	20	9.00	+	2.22	6.64E-04	4.69E-02
vascular process in circulatory system (GO:0003018)	276	47	21.23	+	2.21	2.66E-07	1.19E-04
positive regulation of angiogenesis (GO:0045766)	165	28	12.69	+	2.21	8.52E-05	1.06E-02
detection of external stimulus (GO:0009581)	148	25	11.38	+	2.20	2.47E-04	2.36E-02
regulation of body fluid levels (GO:0050878)	381	64	29.31	+	2.18	2.59E-09	3.47E-06
blood coagulation (GO:0007596)	191	32	14.69	+	2.18	2.74E-05	4.35E-03
hemostasis (GO:0007599)	197	33	15.15	+	2.18	2.02E-05	3.35E-03
detection of abiotic stimulus (GO:0009582)	150	25	11.54	+	2.17	2.72E-04	2.53E-02
coagulation (GO:0050817)	193	32	14.85	+	2.16	3.26E-05	5.06E-03
positive regulation of chemotaxis (GO:0050921)	145	24	11.15	+	2.15	4.01E-04	3.32E-02
angiogenesis (GO:0001525)	352	58	27.08	+	2.14	4.34E-08	3.56E-05
regulation of vasculature development (GO:1901342)	304	49	23.38	+	2.10	6.85E-07	2.53E-04
blood circulation (GO:0008015)	433	69	33.31	+	2.07	7.78E-09	8.83E-06
circulatory system process (GO:0003013)	523	83	40.23	+	2.06	2.14E-10	6.32E-07
regulation of angiogenesis (GO:0045765)	297	47	22.85	+	2.06	2.52E-06	6.75E-04
protein processing (GO:0016485)	196	31	15.08	+	2.06	1.19E-04	1.35E-02
cell-substrate adhesion (GO:0031589)	185	29	14.23	+	2.04	2.35E-04	2.27E-02
response to reactive oxygen species (GO:0000302)	173	27	13.31	+	2.03	4.41E-04	3.63E-02
cellular response to xenobiotic stimulus (GO:0071466)	198	30	15.23	+	1.97	3.81E-04	3.25E-02
wound healing (GO:0042060)	339	51	26.08	+	1.96	4.19E-06	1.03E-03
regulation of lipid biosynthetic process (GO:0046890)	195	29	15.00	+	1.93	5.99E-04	4.36E-02
vasculature development (GO:0001944)	562	82	43.23	+	1.90	1.89E-08	1.75E-05
blood vessel development (GO:0001568)	537	78	41.31	+	1.89	6.22E-08	4.17E-05
response to toxic substance (GO:0009636)	255	37	19.61	+	1.89	1.96E-04	1.96E-02
regulation of lipid metabolic process (GO:0019216)	345	50	26.54	+	1.88	1.42E-05	2.72E-03
response to mechanical stimulus (GO:0009612)	228	33	17.54	+	1.88	3.99E-04	3.33E-02
blood vessel morphogenesis (GO:0048514)	442	63	34.00	+	1.85	1.98E-06	5.61E-04
response to wounding (GO:0009611)	457	65	35.15	+	1.85	1.28E-06	4.01E-04
extracellular structure organization (GO:0043062)	272	38	20.92	+	1.82	3.28E-04	2.93E-02
negative regulation of response to external stimulus (GO:0032102)	404	56	31.08	+	1.80	1.75E-05	3.19E-03
response to hypoxia (GO:0001666)	292	40	22.46	+	1.78	3.49E-04	3.06E-02
alcohol metabolic process (GO:0006066)	310	42	23.84	+	1.76	3.38E-04	2.99E-02
circulatory system development (GO:0072359)	957	128	73.61	+	1.74	5.21E-10	1.10E-06
positive regulation of locomotion (GO:0040017)	599	80	46.07	+	1.74	1.13E-06	3.78E-04
negative regulation of cell adhesion (GO:0007162)	300	40	23.08	+	1.73	6.34E-04	4.54E-02
positive regulation of cell migration (GO:0030335)	556	74	42.77	+	1.73	3.44E-06	8.90E-04
positive regulation of cell motility (GO:2000147)	582	76	44.77	+	1.70	5.61E-06	1.34E-03
response to xenobiotic stimulus (GO:0009410)	423	55	32.54	+	1.69	1.35E-04	1.47E-02
lipid transport (GO:0006869)	354	46	27.23	+	1.69	5.50E-04	4.10E-02
lipid localization (GO:0010876)	355	46	27.31	+	1.68	5.60E-04	4.13E-02
regulation of cell adhesion (GO:0030155)	802	103	61.69	+	1.67	2.25E-07	1.07E-04
positive regulation of MAPK cascade (GO:0043410)	455	58	35.00	+	1.66	1.63E-04	1.67E-02
cell surface receptor protein tyrosine kinase signaling pathway (GO:0007169)	443	56	34.08	+	1.64	2.76E-04	2.55E-02
regulation of system process (GO:0044057)	573	72	44.07	+	1.63	4.35E-05	6.18E-03
positive regulation of response to external stimulus (GO:0032103)	582	73	44.77	+	1.63	3.54E-05	5.23E-03
cell adhesion (GO:0007155)	968	120	74.46	+	1.61	1.71E-07	8.40E-05
regulation of cell migration (GO:0030334)	957	118	73.61	+	1.60	2.89E-07	1.22E-04
inflammatory response (GO:0006954)	601	74	46.23	+	1.60	6.56E-05	8.57E-03
